SOD WP Ts AFR MRR Ra Kta
2 250 60 300 5.29 4.135 1.178
1 350 20 450 3.165 2.72 1.048
2 250 60 350 5.205 3.92 1.168
3 150 100 450 5.855 4.76 1.255
1 350 100 250 4.07 3.425 1.097
1 150 20 250 5.04 4.25 1.162
2 250 40 350 5.07 3.865 1.159
3 150 20 450 5.245 4.13 1.198
2 300 60 350 4.555 3.695 1.135
1 350 20 250 3.445 2.97 1.078
3 350 100 250 4.43 3.58 1.135
2 250 80 350 5.385 4.22 1.176
3 150 100 250 6.11 5 1.288
3 350 100 450 4.385 3.475 1.126
1 150 20 450 4.46 3.74 1.126
2 200 60 350 5.355 4.285 1.183
2 250 60 350 5.345 4.02 1.161
2 250 60 350 5.345 4.02 1.161
1.5 250 60 350 5.18 3.985 1.159
3 350 20 450 3.78 3.09 1.091
2 250 60 400 5.06 3.95 1.152
2.5 250 60 350 5.565 4.165 1.177
1 150 100 250 5.515 4.88 1.219
1 350 100 450 3.92 3.23 1.078
1 150 100 450 5.18 4.79 1.168
3 150 20 250 5.84 4.535 1.239
3 350 20 250 4.08 3.4 1.109
